	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
\	310	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	306	1	1	1	1	1	1	1	1	1	1	1	0	0	0	

\	302	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Wood and Plaster Diagonal Beams 1
\	296	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	295	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	297	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	311	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	303	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	304	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Wood and Plaster Diagonal Beams 2
\	310	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	300	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	299	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	301	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	311	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	305	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	336	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Wood and Plaster Fancy
v	332	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	334	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	342	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	343	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	338	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Wood and Plaster Medium
v	335	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	339	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	340	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	341	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	910	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Damaged Plaster Plain
v	909	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	911	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	898	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	912	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Damaged Plaster Damaged
\	915	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	907	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	914	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	908	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	916	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	913	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

v	906	1	1	1	1	1	1	1	1	1	1	1	0	0	0	

\	902	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Damaged Plaster Damaged Diagonals 1
\	915	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	896	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	895	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	897	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	916	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	903	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	904	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Damaged Plaster Damaged Diagonals 2
\	915	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	900	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	899	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	901	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	916	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	905	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	9351	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Lacquered Panels Standard Walls
v	9349	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	9350	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	9354	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	9348	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Lacquered Panels Half Walls
v	9346	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	9347	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	9353	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	9345	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Lacquered Panels Quarter Walls
v	9343	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	9344	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	9352	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	9367	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Cherrywood Standard Walls
v	9365	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	9366	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	9368	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	9363	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Cherrywood Half Walls
v	9361	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	9362	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	9364	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	9359	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Cherrywood Quarter Walls
v	9357	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	9358	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	9360	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	9384	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Plaster Standard Walls
\	9378	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9373	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	9374	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9377	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9383	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
v	10800	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	10803	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
o	10806	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	10809	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	9380	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Plaster Half Walls
\	9371	1	1	0	0	1	1	1	1	1	1	0	0	1	0	
\	9386	1	1	0	0	1	1	1	1	1	1	0	0	1	0	
./	9372	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
./	9379	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
./	9385	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
v	10801	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
v	10804	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
o	10807	1	1	0	0	1	1	1	1	0	0	0	1	1	1	
o	10810	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	9382	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Plaster Quarter Walls
\	9376	1	1	0	0	1	1	1	1	1	1	0	0	1	0	
./	9375	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
./	9381	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
v	10802	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
o	10808	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10015	1	1	0	0	0	1	0	1	0	1	1	0	1	0	Paper Standard Walls
v	10005	1	1	0	1	0	1	0	1	0	1	1	0	0	0	
./	10012	1	1	0	1	0	1	0	1	0	0	1	1	0	0	

\	10014	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Paper Half Walls
v	10004	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	10011	1	1	0	1	0	1	0	1	0	0	0	1	0	0	

\	10013	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Paper Quarter Walls
v	10003	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	10010	1	1	0	1	0	1	0	1	0	0	0	1	0	0	

\	10082	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Lattice Standard Walls
v	10069	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	10079	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	10076	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	10081	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Lattice Half Walls
v	10068	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10078	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10075	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10080	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Lattice Quarter Walls
v	10067	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10077	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10074	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10650	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Wood Panel Standard Walls
v	10653	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	10647	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	10644	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	10649	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Wood Panel Half Walls
v	10652	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10646	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10643	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10648	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Wood Panel Quarter Walls
v	10651	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10645	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10642	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10560	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Clay Standard Walls
v	10554	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	10557	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	10563	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	10559	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Clay Half Walls
v	10553	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10556	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10562	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10558	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Clay Quarter Walls
v	10552	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10555	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10561	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10575	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Weathered Clay Standard Walls
v	10566	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	10569	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	10572	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	10574	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Weathered Clay Half Walls
v	10565	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10568	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10571	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10573	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Weathered Clay Quarter Walls
v	10564	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10567	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10570	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10581	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Limestone Standard Walls
v	10584	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	10578	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	10587	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	10580	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Limestone Half Walls
v	10583	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10577	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10586	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

\	10579	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Limestone Quarter Walls
v	10582	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
./	10576	1	1	1	1	1	1	1	1	0	0	0	1	0	0	
o	10585	1	1	0	0	1	1	1	1	0	0	0	1	1	1	

v	10728	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Dark Plaster Standard Walls
\	10729	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	10730	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	10731	1	1	0	0	1	1	1	1	0	0	1	1	1	1
v	10732	1	1	1	1	1	1	1	1	1	1	1	0	0	0
\	10733	1	1	0	0	1	1	1	1	1	1	1	0	1	0
./	10734	1	1	1	1	1	1	1	1	0	0	1	1	0	0
\	10735	1	1	0	0	1	1	1	1	1	1	1	0	1	0
./	10736	1	1	1	1	1	1	1	1	0	0	1	1	0	0
\	10737	1	1	0	0	1	1	1	1	1	1	1	0	1	0
./	10738	1	1	1	1	1	1	1	1	0	0	1	1	0	0
v	10739	1	1	1	1	1	1	1	1	1	1	1	0	0	0
\	10740	1	1	0	0	1	1	1	1	1	1	1	0	1	0
./	10741	1	1	1	1	1	1	1	1	0	0	1	1	0	0
v	10742	1	1	1	1	1	1	1	1	1	1	1	0	0	0
\	10743	1	1	0	0	1	1	1	1	1	1	1	0	1	0
./	10744	1	1	1	1	1	1	1	1	0	0	1	1	0	0
\	10745	1	1	0	0	1	1	1	1	1	1	1	0	1	0
./	10746	1	1	1	1	1	1	1	1	0	0	1	1	0	0
\	10747	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	10748	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

MISC TABLE STARTS HERE?.																
\	44	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Weathered Stone Arches
\	41	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	40	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	42	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	43	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	470	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Weathered Stone Arches 2
\	471	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	469	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	473	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	472	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	476	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Weathered Stone Arch Tops
\	477	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	475	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	479	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	478	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	480	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
\	481	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Weathered Stone Misc
v	482	0	1	0	0	0	1	0	0	0	0	0	0	1	0	
./	483	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
./	484	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
./	485	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Weathered Stone Round Walls

.	474	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
.	486	0	1	1	1	0	0	0	0	0	0	0	1	0	0	
.	487	0	1	0	0	0	0	0	0	1	1	0	0	1	0	

.	16134	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9541	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9537	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9538	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9550	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9551	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9555	1	1	0	0	0	0	0	0	0	0	1	0	0	0

.	9539	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9543	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9554	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9553	1	1	0	0	0	0	0	0	0	0	1	0	0	0

.	9548	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9549	1	1	0	0	0	0	0	0	0	0	1	0	0	0
.	9544	1	1	0	0	0	0	0	0	0	0	1	0	0	0	Granite Square Arches

.	9546	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	9535	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	9536	1	1	0	0	0	0	0	0	0	0	1	0	0	0	

\	209	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Granite Rounded Arches
\	207	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	205	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	206	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	208	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	218	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Granite Misc
\	216	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	212	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	215	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	217	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	225	0	1	0	0	0	1	0	0	0	0	0	0	1	0	
\	213	0	1	0	0	0	0	0	0	0	1	0	0	1	0	Granite Misc
\	224	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
./	214	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
./	226	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
./	227	0	1	0	1	0	0	0	0	0	0	0	1	0	0	

.	211	0	1	1	1	0	0	0	0	0	0	0	1	0	0	Grey Brick Arches
.	228	1	1	0	0	0	0	1	1	1	1	1	0	1	0	
.	219	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
.	229	1	1	1	1	1	1	0	0	0	0	1	1	0	0	
.	210	0	1	0	0	0	0	0	0	1	1	0	0	1	0	

\	71	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Grey Brick Roof Trim
\	72	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	69	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	70	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	73	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	83	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	80	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	78	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Arches
v	82	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	79	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	81	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	84	0	1	0	1	0	1	0	1	0	0	0	1	0	0	

\	111	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Light Brick Battlements
\	112	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	109	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	110	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	113	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

.	118	0	1	0	1	0	1	0	0	0	0	0	0	0	0	
.	116	0	1	1	1	0	1	0	0	0	1	0	0	0	0	Light Brick Ruins
.	115	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
.	114	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	117	0	1	0	0	0	0	0	1	0	1	0	0	0	0	
.	119	0	1	0	0	0	0	0	0	0	0	0	0	0	0	

\	631	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	636	0	1	0	1	0	0	0	1	0	0	0	1	0	0	
./	633	0	1	0	1	0	0	0	1	0	0	0	1	0	0	
\	632	0	1	0	0	0	1	0	0	0	1	0	0	1	0	Tan Marble Fancy Arches
./	634	0	1	0	1	0	0	0	1	0	0	0	1	0	0	
\	635	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
\	641	0	1	0	0	1	1	0	0	1	1	1	0	1	0	
./	642	0	1	1	1	0	0	1	1	0	0	1	1	0	0	

\	1082	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Tan Marble Medium Arches
\	1081	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	1080	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	1083	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	1084	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	1087	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Tan Marble Plain Arches
\	1086	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	1085	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	1088	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	1089	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	276	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Tan Marble Columns
\	275	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	274	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	277	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	278	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

.	284	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	283	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	285	1	1	0	0	0	0	0	0	0	0	1	0	0	0	White Marble Fancy Arches
.	287	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	286	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	288	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	7978	0	1	0	0	0	0	0	0	0	0	0	0	0	0	

\	1096	1	0	0	0	1	0	1	0	1	0	1	0	1	0	White Marble Medium Arches
\	1095	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	1094	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	1097	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	1098	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	1101	1	0	0	0	1	0	1	0	1	0	1	0	1	0	White Marble Plain Arches
\	1100	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	1099	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	1102	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	1103	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

\	690	1	0	0	0	1	0	1	0	1	0	1	0	1	0	White Marble Columns
\	689	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	688	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	691	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	692	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

.	680	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	679	1	1	0	0	0	0	0	0	0	0	1	0	0	0	White Marble Plain Arcades
.	681	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	683	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	682	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	684	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
																Sandstone Arches
./	701	1	1	1	0	1	1	1	1	0	0	1	0	0	0	
./	702	1	1	1	1	0	0	1	0	0	0	1	0	0	0	
\	704	1	1	0	0	0	1	0	0	1	1	1	0	0	0	
\	703	1	1	0	0	1	1	1	1	1	0	1	0	0	0	

\	368	1	0	0	0	1	0	1	0	1	0	1	0	1	0	
\	370	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
\	365	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone Fancy Arcades
v	364	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	366	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	369	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
./	367	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

./	395	1	1	1	0	1	1	1	1	0	0	1	1	0	0	
./	394	1	0	1	1	0	0	1	0	0	0	1	1	0	0	Sandstone Plain Arcades
\	396	1	0	0	0	0	1	0	0	1	1	1	0	1	0	
\	397	1	1	0	0	1	1	1	1	1	0	1	0	1	0	
\	398	1	0	0	0	1	0	0	0	1	1	1	0	1	0	
./	399	1	0	1	1	0	0	0	0	1	0	1	1	0	0	
																Sandstone Battlements 1
\	403	1	0	0	0	0	1	0	0	1	1	1	0	1	0	
\	402	1	1	0	0	1	1	1	1	1	0	1	0	1	0	
./	400	1	1	1	0	1	1	1	1	0	0	1	1	0	0	
./	401	1	0	1	1	0	0	1	0	0	0	1	1	0	0	

.	373	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	374	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	375	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	376	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Sandstone Battlements 2
.	386	0	1	0	0	0	1	0	1	0	1	0	0	0	0	
.	387	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
.	388	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
.	389	0	1	0	0	0	0	0	0	0	1	0	0	0	0	

.	420	0	1	0	1	1	1	0	1	0	0	0	0	0	0	
.	380	0	1	0	1	0	1	0	0	0	0	0	0	0	0	
.	378	0	1	1	1	0	1	0	0	0	1	0	0	0	0	Sandstone Battlements 3
.	379	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
.	377	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	381	0	1	0	0	0	0	0	1	0	1	0	0	0	0	
.	371	0	1	0	0	0	1	1	1	0	1	0	0	0	0	

.	382	1	0	1	0	0	0	0	0	0	0	1	0	0	0	
.	383	1	0	0	0	0	0	0	0	1	0	1	0	0	0	
..	384	1	0	0	0	0	0	1	0	0	0	1	0	0	0	
.	385	1	0	0	0	1	0	0	0	0	0	1	0	0	0	Sandstone pillers
.	390	1	0	1	0	0	0	0	0	0	0	1	0	0	0	
.	391	1	0	0	0	0	0	0	0	1	0	1	0	0	0	
.	392	1	0	0	1	0	1	0	0	0	0	1	0	0	0	
.	393	1	0	0	1	0	1	0	0	0	0	1	0	0	0	Sandstone Ruins 1

.	405	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	404	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	406	1	1	0	0	0	0	0	0	0	0	1	0	0	0	

./	951	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
v	952	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	953	0	1	0	1	0	0	0	1	0	0	0	1	0	0	Sandstone Ruins 2
\	954	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
.	955	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
.	956	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
.	957	0	1	0	0	0	0	0	0	0	1	0	1	1	0	

\	10718	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Plaster Arches
\	10719	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	10716	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	10725	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	10717	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10720	1	0	1	0	1	0	1	0	0	0	1	1	0	0	

v	959	0	1	0	1	0	1	0	1	0	1	0	0	0	0	Bamboo Round Walls
\	963	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	964	0	1	0	1	0	0	0	1	0	0	0	1	0	0	
\	965	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	966	0	1	0	1	0	0	0	1	0	0	0	1	0	0	

